fecha,close,emisor
2017-02-03,18428.970703125,GRUPONUTRESA
2017-02-06,18141.73046875,GRUPONUTRESA
2017-02-07,17990.544921875,GRUPONUTRESA
2017-02-08,17930.06640625,GRUPONUTRESA
2017-02-09,18176.0546875,GRUPONUTRESA
2017-02-10,18176.0546875,GRUPONUTRESA
2017-02-13,18206.353515625,GRUPONUTRESA
2017-02-14,18024.591796875,GRUPONUTRESA
2017-02-15,18130.6171875,GRUPONUTRESA
2017-02-16,18206.353515625,GRUPONUTRESA
2017-02-17,18206.353515625,GRUPONUTRESA
2017-02-20,18388.10546875,GRUPONUTRESA
2017-02-21,18388.10546875,GRUPONUTRESA
2017-02-22,18327.517578125,GRUPONUTRESA
2017-02-23,18297.234375,GRUPONUTRESA
2017-02-24,18009.4375,GRUPONUTRESA
2017-02-27,17948.86328125,GRUPONUTRESA
2017-02-28,17873.125,GRUPONUTRESA
2017-03-01,17767.08984375,GRUPONUTRESA
2017-03-02,17570.185546875,GRUPONUTRESA
2017-03-03,17509.603515625,GRUPONUTRESA
2017-03-06,17948.86328125,GRUPONUTRESA
2017-03-07,18070.029296875,GRUPONUTRESA
2017-03-08,18145.75390625,GRUPONUTRESA
2017-03-09,18149.4140625,GRUPONUTRESA
2017-03-10,18285.982421875,GRUPONUTRESA
2017-03-13,18043.1796875,GRUPONUTRESA
2017-03-14,17739.671875,GRUPONUTRESA
2017-03-15,17648.626953125,GRUPONUTRESA
2017-03-16,18134.224609375,GRUPONUTRESA
2017-03-17,18210.1015625,GRUPONUTRESA
2017-03-20,18210.1015625,GRUPONUTRESA
2017-03-21,18058.35546875,GRUPONUTRESA
2017-03-22,17921.775390625,GRUPONUTRESA
2017-03-23,18194.935546875,GRUPONUTRESA
2017-03-24,18255.62890625,GRUPONUTRESA
2017-03-27,18194.935546875,GRUPONUTRESA
2017-03-28,18210.1015625,GRUPONUTRESA
2017-03-29,18331.50390625,GRUPONUTRESA
2017-03-30,18498.431640625,GRUPONUTRESA
2017-03-31,18498.431640625,GRUPONUTRESA
2017-04-03,18483.26171875,GRUPONUTRESA
2017-04-04,18483.26171875,GRUPONUTRESA
2017-04-05,18437.7265625,GRUPONUTRESA
2017-04-06,18437.7265625,GRUPONUTRESA
2017-04-07,18337.41796875,GRUPONUTRESA
2017-04-10,18337.41796875,GRUPONUTRESA
2017-04-11,18474.25390625,GRUPONUTRESA
2017-04-12,18535.080078125,GRUPONUTRESA
2017-04-13,18535.080078125,GRUPONUTRESA
